game_id,tag
40,Action Roguelike
40,Hack and Slash
40,Roguelite
40,Indie
40,Action
40,Mythology
40,Roguelike
40,RPG
40,Great Soundtrack
40,Singleplayer
40,Story Rich
40,Dungeon Crawler
40,Replay Value
40,Isometric
40,Difficult
40,Action RPG
40,Hand drawn
40,Atmospheric
40,Perma Death
40,Souls like
41,Open World
41,Open World Survival Craft
41,Space
41,Exploration
41,Sci fi
41,Survival
41,Procedural Generation
41,Adventure
41,First Person
41,Sandbox
41,Singleplayer
41,Multiplayer
41,Atmospheric
41,Crafting
41,Space Sim
41,Indie
41,Action
41,Simulation
41,FPS
41,VR
42,Survival
42,Massively Multiplayer
42,Multiplayer
42,Open World
42,Battle Royale
42,PvP
42,FPS
42,Action
42,Shooter
42,Free to Play
42,Third Person Shooter
42,Zombies
42,Co op
42,Early Access
42,Online Co Op
42,Adventure
42,First Person
42,Violent
42,Gore
42,Walking Simulator
43,Open World
43,Post apocalyptic
43,Singleplayer
43,Exploration
43,RPG
43,Adventure
43,Atmospheric
43,Shooter
43,First Person
43,Story Rich
43,Action
43,Sci fi
43,FPS
43,Action RPG
43,Sandbox
43,Great Soundtrack
43,Third Person
43,Survival
43,Third Person Shooter
43,Character Customization
44,Strategy
44,Turn Based Strategy
44,Multiplayer
44,Historical
44,Singleplayer
44,Grand Strategy
44,Turn Based
44,4X
44,War
44,Simulation
44,City Builder
44,Tactical
44,Building
44,Management
44,Great Soundtrack
44,Moddable
44,Online Co Op
44,Co op
44,Hex Grid
44,Atmospheric
45,Action Roguelike
45,Bullet Hell
45,Pixel Graphics
45,Roguelite
45,2D
45,Indie
45,Singleplayer
45,Vampire
45,Casual
45,Action
45,Arcade
45,RPG
45,Controller
45,Retro
45,Score Attack
45,Roguelike
45,Action RPG
45,Dark Fantasy
45,Early Access
45,1980s
46,Great Soundtrack
46,FPS
46,Classic
46,Multiplayer
46,Sci fi
46,Story Rich
46,Co op
46,First Person
46,Epic
46,Action
46,Shooter
46,Singleplayer
46,Aliens
46,Lore Rich
46,Beautiful
46,Space
46,Atmospheric
46,Adventure
46,Horror
46,Online Co Op
47,Sandbox
47,Physics
47,Gore
47,Blood
47,Violent
47,Moddable
47,2D
47,Singleplayer
47,Destruction
47,Simulation
47,Funny
47,Building
47,Pixel Graphics
47,Psychological Horror
47,Indie
47,Casual
47,Action
47,Horror
47,Comedy
47,Choose Your Own Adventure
48,Survival
48,Zombies
48,Open World
48,Multiplayer
48,Open World Survival Craft
48,Voxel
48,Post apocalyptic
48,Base Building
48,Online Co Op
48,Exploration
48,Building
48,Sandbox
48,Simulation
48,FPS
48,Strategy
48,Character Customization
48,Action
48,Tower Defense
48,Procedural Generation
48,Early Access
49,Tactical RPG
49,Management
49,Singleplayer
49,Mythology
49,Sandbox
49,Simulation
49,RPG
49,Choose Your Own Adventure
49,Dating Sim
49,Action
49,Adventure
49,Exploration
49,2D
49,Sexual Content
49,Fantasy
49,Action RPG
49,Action Adventure
49,Hand drawn
49,Story Rich
49,Strategy RPG
50,Loot
50,Shooter
50,Action
50,Multiplayer
50,Co op
50,Looter Shooter
50,FPS
50,RPG
50,First Person
50,Funny
50,Comedy
50,Open World
